,close,pe_ttm,nav,Year,percent,percent_pe
2010-09-10,1034.939,66.95050048828125,1.063403111074121,2010,0.2,0.4
2010-09-13,1042.482,67.45179748535156,1.0711535675424078,2010,0.2,0.4
2010-09-14,1031.219,66.72699737548828,1.0595807992536217,2010,0.2,0.4
2010-09-15,990.103,64.22599792480469,1.0173339786053288,2010,0.2,0.4
2010-09-16,972.602,63.19770050048828,0.9993516454949637,2010,0.2,0.4
2010-09-17,972.229,63.11009979248047,0.9989683868097363,2010,0.2,0.4
2010-09-20,949.195,61.56959915161133,0.9753008786179672,2010,0.2,0.4
2010-09-21,934.461,60.56159973144531,0.9601616467998928,2010,0.2,0.4
2010-09-27,950.671,61.59339904785156,0.9768174733080363,2010,0.2,0.4
2010-09-28,942.049,60.97700119018555,0.9679583409111693,2010,0.2,0.4
2010-09-29,926.758,60.019100189208984,0.9522467898231977,2010,0.2,0.4
2010-09-30,942.539,61.01020050048828,0.9684618174681705,2010,0.2,0.4
2010-10-08,959.863,62.13290023803711,0.9862622825161088,2010,0.2,0.4
2010-10-11,947.11,61.31760025024414,0.973158534492768,2010,0.2,0.4
2010-10-12,951.79,61.4010009765625,0.9779672493637187,2010,0.2,0.4
2010-10-13,962.738,62.12300109863281,0.9892163541515753,2010,0.2,0.4
2010-10-14,958.495,61.86029815673828,0.9848566581692154,2010,0.2,0.4
2010-10-15,944.254,60.90810012817383,0.970223985417675,2010,0.2,0.4
2010-10-18,932.359,59.47999954223633,0.9580018351206752,2010,0.2,0.4
2010-10-19,995.922,63.55739974975586,1.0233130195955131,2010,0.2,0.4
2010-10-20,1004.542,63.99039840698242,1.032170096986025,2010,0.2,0.4
2010-10-21,991.842,63.142601013183594,1.0191208066310946,2010,0.2,0.4
2010-10-22,1013.448,64.40730285644531,1.041321040285317,2010,0.2,0.4
2010-10-25,1039.054,65.6095962524414,1.0676312866497542,2010,0.2,0.4
2010-10-26,1036.007,64.6448974609375,1.0645004844677484,2010,0.2,0.4
2010-10-27,1030.593,63.84619903564453,1.0589375822644733,2010,0.2,0.4
2010-10-28,1038.622,64.70549774169922,1.067187405277051,2010,0.2,0.4
2010-10-29,1064.522,66.3135986328125,1.0937997375756885,2010,0.2,0.4
2010-11-01,1107.523,68.96410369873047,1.1379834017136699,2010,0.2,0.5
2010-11-02,1075.151,66.9540023803711,1.1047210688499056,2010,0.2,0.4
2010-11-03,1040.621,64.81449890136719,1.0692413841289805,2010,0.2,0.4
2010-11-04,1057.714,65.86540222167969,1.0868044959429037,2010,0.2,0.4
2010-11-05,1072.219,66.80509948730469,1.1017084295333184,2010,0.2,0.4
2010-11-08,1107.061,68.9375,1.1375086952456401,2010,0.2,0.5
2010-11-09,1115.648,69.50759887695312,1.1463318650312926,2010,0.2,0.5
2010-11-10,1141.582,71.22339630126953,1.1729791324379673,2010,0.2,0.5
2010-11-11,1132.722,70.62359619140625,1.1638754542848424,2010,0.2,0.5
2010-11-12,1082.24,67.45140075683594,1.1120050388755829,2010,0.2,0.4
2010-11-15,1148.539,71.61160278320312,1.1801274720442074,2010,0.2,0.5
2010-11-16,1126.175,70.30290222167969,1.157148390981399,2010,0.2,0.5
2010-11-17,1085.349,67.65010070800781,1.1151995462545967,2010,0.2,0.4
2010-11-18,1102.845,68.76000213623047,1.1331767418490744,2010,0.2,0.4
2010-11-19,1153.171,71.89360046386719,1.1848868667626355,2010,0.2,0.5
2010-11-22,1174.938,73.2605972290039,1.2072525284284443,2010,0.2,0.5
2010-11-23,1183.502,73.88870239257812,1.216052065641013,2010,0.2,0.5
2010-11-24,1208.45,75.46330261230469,1.2416862149146197,2010,0.3,0.5
2010-11-25,1186.358,74.0541000366211,1.218986614716106,2010,0.2,0.5
2010-11-26,1196.019,74.63860321044922,1.228913322914451,2010,0.3,0.5
2010-11-29,1220.11,76.11070251464844,1.2536669019648943,2010,0.3,0.5
2010-11-30,1181.504,73.67269897460938,1.2139991142922608,2010,0.2,0.5
2010-12-01,1177.175,73.36750030517578,1.2095510530366316,2010,0.2,0.5
2010-12-02,1177.84,73.43560028076172,1.2102343426497046,2010,0.2,0.5
2010-12-03,1157.939,72.16699981689453,1.1897860019132112,2010,0.2,0.5
2010-12-06,1134.383,70.714599609375,1.165582137062759,2010,0.2,0.5
2010-12-07,1161.692,72.3656997680664,1.1936422213385696,2010,0.2,0.5
2010-12-08,1160.239,72.3125991821289,1.1921492592215843,2010,0.2,0.5
2010-12-09,1144.531,71.38639831542969,1.1760092393085726,2010,0.2,0.5
2010-12-10,1166.801,72.75810241699219,1.1988917350726906,2010,0.2,0.5
2010-12-13,1209.271,75.36509704589844,1.2425297950233911,2010,0.3,0.5
2010-12-14,1218.52,75.96920013427734,1.2520331719125841,2010,0.3,0.5
2010-12-15,1211.804,75.51360321044922,1.2451324605721346,2010,0.3,0.5
2010-12-16,1225.03,76.33290100097656,1.258722217598458,2010,0.3,0.5
2010-12-17,1232.982,76.8467025756836,1.266892922866364,2010,0.3,0.5
2010-12-20,1212.337,75.552001953125,1.2456801197657705,2010,0.3,0.5
2010-12-21,1215.022,75.69380187988281,1.2484389657975017,2010,0.3,0.5
2010-12-22,1201.647,74.79879760742188,1.2346961107977226,2010,0.3,0.5
2010-12-23,1176.364,73.2531967163086,1.2087177479596356,2010,0.2,0.5
2010-12-24,1144.502,71.2676010131836,1.1759794417164235,2010,0.2,0.5
2010-12-27,1105.296,68.90180206298828,1.135695152137258,2010,0.2,0.4
2010-12-28,1091.483,67.89289855957031,1.1215022507457104,2010,0.2,0.4
2010-12-29,1113.31,69.22229766845703,1.1439295626021724,2010,0.2,0.5
2010-12-30,1117.214,69.46150207519531,1.1479409350073415,2010,0.2,0.5
2010-12-31,1137.662,70.72810363769531,1.1689513199819572,2010,0.2,0.5
2011-01-04,1155.106,71.87259674072266,1.1868750854112018,2011,0.2,0.5
2011-01-05,1155.349,71.73570251464844,1.187124768683347,2011,0.2,0.5
2011-01-06,1134.792,70.50389862060547,1.1660023858623783,2011,0.2,0.5
2011-01-07,1126.517,69.87220001220703,1.1574997970681224,2011,0.2,0.5
2011-01-10,1093.765,67.85150146484375,1.1238470129968878,2011,0.2,0.4
2011-01-11,1078.365,66.93609619140625,1.1080234640625626,2011,0.2,0.4
2011-01-12,1089.673,67.5353012084961,1.1196424699943386,2011,0.2,0.4
2011-01-13,1093.856,67.73059844970703,1.1239405157860451,2011,0.2,0.4
2011-01-14,1067.418,66.15270233154297,1.0967753867778836,2011,0.2,0.4
2011-01-17,1028.161,63.725799560546875,1.056438694536663,2011,0.2,0.4
2011-01-18,1025.716,63.58089828491211,1.0539264492675444,2011,0.2,0.4
2011-01-19,1048.535,64.98560333251953,1.0773730442761396,2011,0.2,0.4
2011-01-20,1020.389,63.08649826049805,1.0484529398407165,2011,0.2,0.4
2011-01-21,1024.505,63.21760177612305,1.0526821429195272,2011,0.2,0.4
2011-01-24,994.967,61.253700256347656,1.0223317540609496,2011,0.2,0.4
2011-01-25,978.998,60.287498474121094,1.0059235558185964,2011,0.2,0.4
2011-01-26,995.744,61.31700134277344,1.0231301240299087,2011,0.2,0.4
2011-01-27,1013.024,62.35110092163086,1.0408853789380343,2011,0.2,0.4
2011-01-28,1020.938,62.83330154418945,1.0490170390851934,2011,0.2,0.4
2011-01-31,1029.12,63.1599006652832,1.0574240700839366,2011,0.2,0.4
2011-02-01,1032.604,63.2578010559082,1.0610038911545334,2011,0.2,0.4
2011-02-09,1025.152,62.698299407958984,1.0533469374754043,2011,0.2,0.4
2011-02-10,1063.946,65.10690307617188,1.0932078957454177,2011,0.2,0.4
2011-02-11,1071.582,65.63459777832031,1.101053910009217,2011,0.2,0.4
2011-02-14,1086.558,66.33090209960938,1.116441797596259,2011,0.2,0.4
2011-02-15,1087.725,66.35690307617188,1.117640893804464,2011,0.2,0.4
2011-02-16,1107.24,67.54550170898438,1.1376926183144223,2011,0.2,0.4
2011-02-17,1115.334,68.04820251464844,1.1460092290335409,2011,0.2,0.4
2011-02-18,1100.461,67.11579895019531,1.1307271742737866,2011,0.2,0.4
2011-02-21,1117.672,67.87120056152344,1.148411531462661,2011,0.2,0.4
2011-02-22,1088.266,65.68779754638672,1.1181967730235207,2011,0.2,0.4
2011-02-23,1114.052,66.43879699707031,1.1446919699599172,2011,0.2,0.4
