group_percent,number,date,close,pe_ttm,nav,year,percent,percent_pe,group_percent,group_pe,maxdd,maxl,maxdd_group_360,maxl_group_360
11,337,2011-10-24,772.41,39.31750106811523,0.7936537293741581,2011,0.1,0.2,11,15,0.6973994356458193,0.23141854714465115,0.3553998267052056,0.23141854714465115
12,366,2011-12-02,829.176,42.03150177001953,0.8519809747511645,2011,0.2,0.3,12,16,0.6973994356458193,0.28403619979353006,0.28403619979353006,0.28403619979353006
13,367,2011-12-05,792.495,40.124000549316406,0.8142911306953218,2011,0.1,0.2,13,17,0.6973994356458193,0.2508974820030411,0.26657120866386397,0.2508974820030411
14,371,2011-12-09,798.837,40.33380126953125,0.8208075558473665,2011,0.2,0.2,14,17,0.6973994356458193,0.256844637892336,0.256844637892336,0.256844637892336
15,653,2013-02-06,791.263,38.4359016418457,0.8130252467805757,2013,0.1,0.2,15,17,0.6973994356458193,-0.0,0.21310123853470003,-0.0
16,759,2013-07-23,1178.588,56.39979934692383,1.2110029150265147,2013,0.2,0.4,16,27,0.6973994356458193,0.04622989543419762,0.21310123853470003,0.04622989543419762
17,760,2013-07-24,1203.308,57.5640983581543,1.2364027935756392,2013,0.3,0.4,17,27,0.6973994356458193,0.06582354642369213,0.21310123853470003,0.06582354642369213
18,767,2013-08-02,1188.851,56.14699935913086,1.2215481801377472,2013,0.2,0.4,18,29,0.6973994356458193,0.047747783363937195,0.21310123853470003,0.047747783363937195
19,769,2013-08-06,1211.782,57.34519958496094,1.2451098555022282,2013,0.3,0.4,19,29,0.6973994356458193,0.06576760506427717,0.21310123853470003,0.06576760506427717
20,780,2013-08-21,1181.34,54.8760986328125,1.2138306037711422,2013,0.2,0.3,20,32,0.6973994356458193,-0.0,0.21310123853470003,-0.0
21,786,2013-08-29,1226.296,57.14559936523438,1.2600230366212408,2013,0.3,0.4,21,33,0.6973994356458193,0.03355715096518301,0.21310123853470003,0.03355715096518301
22,787,2013-08-30,1185.145,55.29449844360352,1.2177402533617336,2013,0.2,0.4,22,33,0.6973994356458193,-0.0,0.21310123853470003,-0.0
23,1091,2014-12-02,1565.4170000000001,59.97129821777344,1.6084709416963872,2014,0.3,0.4,23,65,0.6973994356458193,0.23021699649358607,0.5486078100049443,0.06727217092953519
24,1093,2014-12-04,1621.845,62.01110076904297,1.6664508909993805,2014,0.4,0.4,24,65,0.6973994356458193,0.2569996516313211,0.5486078100049443,0.09972407967469153
25,1098,2014-12-11,1587.665,60.75339889526367,1.6313308323905993,2014,0.3,0.4,25,65,0.6973994356458193,0.24100399013645818,0.5486078100049443,0.08034251558105773
26,1104,2014-12-19,1596.8110000000001,60.84379959106445,1.6407283764525042,2014,0.4,0.4,26,65,0.6973994356458193,0.2453512657415311,0.5486078100049443,0.085610006444094
27,1118,2015-01-12,1586.124,60.366600036621094,1.6297474499939892,2015,0.3,0.4,27,65,0.6973994356458193,0.24026658697554537,0.5486078100049443,-0.0
28,1119,2015-01-13,1601.168,60.88970184326172,1.645205207797105,2015,0.4,0.4,28,65,0.6973994356458193,0.24740476951825158,0.5486078100049443,0.009263862380462173
29,1121,2015-01-15,1586.335,60.24879837036133,1.6299642531644531,2015,0.3,0.4,29,65,0.6973994356458193,0.24036763987430143,0.5486078100049443,-0.0
30,1149,2015-03-03,1961.743,67.72049713134766,2.015697166043486,2015,0.4,0.4,30,67,0.6973994356458193,0.38573431891945065,0.5486078100049443,0.0836939395221494
